departingAirportTicker,arrivingAirportTicker,pointType,numberOfPointsReq,cashReq,class,airlineName,isCashRoute,roundTripReq
MIA,SCL,AA,30000,1.11,Coach,AA,FALSE,FALSE
MIA,SCL,United,30000,1.11,Coach,United,FALSE,FALSE
MIA,SCL,Delta,37500,1.11,Coach,Delta,FALSE,FALSE
LAX,PTY,AA,12500,1.11,Coach,AA,FALSE,FALSE
LAX,PTY,FlyingBlue,15000,1.11,Coach,Delta,FALSE,FALSE
LAX,PTY,Alaska,15000,1.11,Coach,AA,FALSE,FALSE
LAX,PTY,United,17500,1.11,Coach,United,FALSE,FALSE
LAX,PTY,Delta,17500,1.11,Coach,Delta,FALSE,FALSE
LAX,PTY,Avios,20000,1.11,Coach,AA,FALSE,FALSE
LAX,MEX,Avios,12500,1.11,Coach,AA,FALSE,FALSE
LAX,MEX,AA,12500,1.11,Coach,AA,FALSE,FALSE
LAX,MEX,FlyingBlue,12500,1.11,Coach,Delta,FALSE,FALSE
LAX,MEX,United,17500,1.11,Coach,United,FALSE,FALSE
LAX,MEX,Delta,17500,1.11,Coach,Delta,FALSE,FALSE
LAX,MEX,Southwest,5400,40,Coach,Southwest,FALSE,FALSE
LAX,SJD,Southwest,6404,40,Coach,Southwest,FALSE,FALSE
DAL,SJO,Southwest,7704,40,Coach,Southwest,FALSE,FALSE
DAL,BZE,Southwest,8568,30,Coach,Southwest,FALSE,FALSE
JFK,AMS,FlyingBlue,25000,1.11,Coach,Delta,FALSE,FALSE
JFK,AMS,Alaska,32500,1.11,Coach,Air France,FALSE,FALSE
JFK,AMS,United,30000,1.11,Coach,Aer Lingus,FALSE,FALSE
JFK,AMS,Delta,30000,1.11,Coach,Delta,FALSE,FALSE
LAX,SYD,Cash,0,496,Coach,Air New Zealand,TRUE,TRUE
SFO,MEL,Cash,0,496,Coach,Air New Zealand,TRUE,TRUE
SFO,AKL,Cash,0,522.5,Coach,Air New Zealand,TRUE,TRUE
SFO,CHC,Cash,0,560,Coach,Air New Zealand,TRUE,TRUE
SFO,HNL,Cash,0,256.5,Coach,Hawaiian,TRUE,TRUE
LAX,NAN,Cash,0,497,Coach,Fiji Airways,TRUE,TRUE
LAX,SYD,AA,40000,1.11,Coach,AA,FALSE,FALSE
LAX,SYD,Alaska,40000,1.11,Coach,Cathay,FALSE,FALSE
LAX,SYD,United,40000,1.11,Coach,United,FALSE,FALSE
LAX,SYD,Avios,50000,1.11,Coach,AA,FALSE,FALSE
LAX,SYD,FlyingBlue,50000,1.11,Coach,Delta,FALSE,FALSE
SFO,AKL,AA,40000,1.11,Coach,Cathay,FALSE,FALSE
SFO,AKL,Alaska,40000,1.11,Coach,Cathay,FALSE,FALSE
SFO,AKL,United,40000,1.11,Coach,Air New Zealand,FALSE,FALSE
SFO,AKL,FlyingBlue,50000,1.11,Coach,Korean,FALSE,FALSE
SFO,HNL,FlyingBlue,15000,1.11,Coach,Delta,FALSE,FALSE
SFO,HNL,AA,20000,1.11,Coach,AA,FALSE,FALSE
SFO,HNL,Avios,20000,1.11,Coach,AA,FALSE,FALSE
SFO,HNL,Alaska,22500,1.11,Coach,AA,FALSE,FALSE
SFO,HNL,United,22500,1.11,Coach,United,FALSE,FALSE
SFO,HNL,Delta,22500,1.11,Coach,Delta,FALSE,FALSE
LAX,NAN,United,35000,1.11,Coach,Air New Zealand,FALSE,FALSE
LAX,NAN,AA,40000,1.11,Coach,Qantas,FALSE,FALSE
